Name,AddressLine1,AddressLine2,CityStateZipRaw,City,State,Zip,Phone,Email,Website,DateTimeScraped
STONE TOWER WINERY LLC,19925 HOGBACK MOUNTAIN RD,,"LEESBURG VA, 20175-6752",LEESBURG,VA,20175,(703) 777-2797,angela@stonetowerwinery.com,www.stonetowerwinery.com,10/28/2016 10:09:58 AM
ST JULIAN WINE COMPANY INCORPORATED,716 S KALAMAZOO ST,,"PAW PAW MI, 49079",PAW PAW,MI,49079,(269) 657-5568,rons@stjulian.com,www.stjulian.com,10/28/2016 10:09:58 AM
L18 WINES LLC,2545 NAPA VALLEY CORPORATE DR STE C,,"NAPA CA, 94558-6202",NAPA,CA,94558,(646) 376-7742,compliance@lot18.com,www.lot18.com,10/28/2016 10:09:58 AM
BOORDY VINEYARDS INC,12820 LONG GREEN PK,,"HYDES MD, 21082-9541",HYDES,MD,21082,,PHINEAS@BOORDY.COM,www.boordy.com,10/28/2016 10:09:58 AM
"SAND CASTLE WINERY, INC.",755 RIVER RD,PO BOX 177,"ERWINNA PA, 18920-0177",ERWINNA,PA,18920,,WINESAND@EPIX.NET,,10/28/2016 10:09:58 AM
R WINE CELLAR LLC,2014 SMALLMAN ST,,"PITTSBURGH PA, 15222-4428",PITTSBURGH,PA,15222,,INFO@RWINECELLAR.COM,www.rwinecellar.com,10/28/2016 10:09:58 AM
THORN HILL VINEYARDS INC,8170 HWY 29,,"LOWER LAKE CA, 95457-9536",LOWER LAKE,CA,95457,(717) 299-3688,THLANC@COMCAST.NET,,10/28/2016 10:09:58 AM
THE COURTYARD WINERIES LLC,10021 WEST MAIN RD,,"NORTH EAST PA, 16428",NORTH EAST,PA,16428,,COURTYARDWINE@VERIZON.NET,,10/28/2016 10:09:58 AM
KINGVIEWMEAD LLC,357 TOURA DR,,"PITTSBURGH PA, 15236-4510",PITTSBURGH,PA,15236,(412) 335-0070,,,10/28/2016 10:09:58 AM
STE MICHELLE WINE ESTATES LTD,14111 NORTH EAST 145TH ST,PO BOX 1976,"WOODINVILLE WA, 98072-1976",WOODINVILLE,WA,98072,(425) 488-1133,COMPLIANCE@SMWE.COM,www.smwe.com,10/28/2016 10:09:58 AM
THE HESS COLLECTION WINERY,4411 REDWOOD RD,,"NAPA CA, 94558",NAPA,CA,94558,(707) 253-1682,KATE@HESSCOLLECTION.COM,www.hesscollection.com,10/28/2016 10:09:59 AM
"ARROWHEAD WINE CELLARS, INC.",12073 E MAIN RD,PO BOX 676,"NORTH EAST PA, 16428-0676",NORTH EAST,PA,16428,,WINE@VELOCITY.NET,,10/28/2016 10:09:59 AM
CAKEBREAD CELLARS,8300 ST HELENA HWY,,"RUTHERFORD CA, 94573",RUTHERFORD,CA,94573,(707) 963-5221,kenneth@cakebread.com,www.cakebread.com,10/28/2016 10:09:59 AM
BLUE RIDGE WINERY LLC,239 BLUE RIDGE RD,,"SAYLORSBURG PA, 18353-8131",SAYLORSBURG,PA,18353,(570) 236-7816,RANDYDETRICK@YAHOO.COM,,10/28/2016 10:09:59 AM
CLINE CELLARS INC,24737 ARNOLD DR,,"SONOMA CA, 95476",SONOMA,CA,95476,(707) 284-2828,licensing@compliance-connect.com,,10/28/2016 10:09:59 AM
JOHNSON ESTATE WINERY LLC,8419 W MAIN RD,P O BOX 52,"WESTFIELD NY, 14787-0052",WESTFIELD,NY,14787,(716) 326-2191,,,10/28/2016 10:09:59 AM
HAPPY VALLEY VINEYARD & WINERY LLC,576 S FOXPOINTE DR,,"STATE COLLEGE PA, 16801-3300",STATE COLLEGE,PA,16801,(814) 360-1770,HVWINERY@GMAIL.COM,,10/28/2016 10:09:59 AM
REUSTLE PRAYER ROCK VINEYARDS,960 CAL HENRY RD,,"ROSEBURG OR, 97471",ROSEBURG,OR,97471,(541) 459-6060,WINE@REUSTLEVINEYARDS.COM,www.reustlevineyards.com,10/28/2016 10:09:59 AM
TABLAS CREEK VINEYARD,9339 ADELAIDA RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,(805) 237-1231,drc@tablascreek.com,www.tablascreek.com,10/28/2016 10:09:59 AM
ROBERT CRAIG WINERY,2475 SUMMIT LAKE DR,,"ANGWIN CA, 94508",ANGWIN,CA,94508,(707) 252-2250,kiersten@robertcraigwine.com,www.robertcraigwine.com,10/28/2016 10:09:59 AM
SEVEN MOUNTAINS WINE CELLARS LLC,107 MOUNTAIN SPRING LN,,"SPRING MILLS PA, 16875-9041",SPRING MILLS,PA,16875,(814) 364-2983,MARYANN@SEVENMOUNTAINSWINECELLARS.COM,www.sevenmountainswinecellars.com,10/28/2016 10:09:59 AM
LA GRANJA WINERY INC,10920 CHIMNEY ROCK RD,,"PASO ROBLES CA, 93446",PASO ROBLES,CA,93446,(805) 400-3276,JIM@THEFARMWINERY.COM,www.thefarmwinery.com,10/28/2016 10:09:59 AM
LONG SHADOWS VINTNERS,1604 FRENCHTOWN RD,,"WALLA WALLA WA, 99362",WALLA WALLA,WA,99362,(206) 366-0335,shelained@longshadows.com,www.longshadows.com,10/28/2016 10:09:59 AM
RDV VINEYARDS LLC,2550 DELAPLANE GRADE RD,,"DELAPLANE VA, 20144",DELAPLANE,VA,20144,(800) 790-6838,bannon@williamscompliance.com,,10/28/2016 10:09:59 AM
FERRARI-CARANO VINEYARDS AND WINERY,PO Box 1549,,"HEALDSBURG CA, 95448",HEALDSBURG,CA,95448,(707) 433-6700,jodee@fcwinery.com,www.fcwinery.com,10/28/2016 10:09:59 AM
"BENIGNA'S CREEK VINEYARD & WINERY,",1585 RIDGE RD,,"KLINGERSTOWN PA, 17941-9637",KLINGERSTOWN,PA,17941,(570) 425-3090,LAZYM@RURALIFE.NET,,10/28/2016 10:09:59 AM
"1-800 WINESHOP.COM, INC",525 AIRPARK RD,,"NAPA CA, 94558",NAPA,CA,94558,(707) 253-0200,shodges@wineshopathome.com,www.wineshopathome.com,10/28/2016 10:09:59 AM
